########## REPORT GEN: 2 ##########
SPECIES: 
Covino         		Mean: 132.7 		Best: 905.88 		N:7
Beckem         		Mean: 151.93 		Best: 905.88 		N:6
Lynn           		Mean: 156.21 		Best: 911.79 		N:6
Lytle          		Mean: 460.77 		Best: 905.68 		N:2
Hutson         		Mean: 154.81 		Best: 906.02 		N:6
Fletcher       		Mean: 230.27 		Best: 905.68 		N:4
Toney          		Mean: 455.84 		Best: 902.94 		N:2
Villamar       		Mean: 132.8 		Best: 907.08 		N:7
Stinger        		Mean: 230.36 		Best: 902.94 		N:4
Adair          		Mean: 305.45 		Best: 901.33 		N:3
Thompson       		Mean: 302.82 		Best: 901.22 		N:3

########## REPORT GEN: 8 ##########
SPECIES: 
Mitchell       		Mean: 231.18 		Best: 913.67 		N:4
Toney          		Mean: 103.64 		Best: 913.67 		N:9
Roth           		Mean: 309.69 		Best: 911.79 		N:3
Liles          		Mean: 117.26 		Best: 913.67 		N:8
Lynn           		Mean: 154.56 		Best: 911.79 		N:6
Hutson         		Mean: 232.43 		Best: 911.79 		N:4
Fletcher       		Mean: 307.67 		Best: 911.79 		N:3
Villamar       		Mean: 185.34 		Best: 911.79 		N:5
Stinger        		Mean: 186.84 		Best: 911.79 		N:5
Smith          		Mean: 227.78 		Best: 907.08 		N:4
Grove          		Mean: 182.18 		Best: 906.83 		N:5
Rose           		Mean: 115.97 		Best: 905.88 		N:8
Adair          		Mean: 133.04 		Best: 905.88 		N:7
Franklin       		Mean: 184.81 		Best: 911.79 		N:5
Roberts        		Mean: 92.81 		Best: 905.72 		N:10
Spinks         		Mean: 308.21 		Best: 905.72 		N:3
Beckem         		Mean: 453.42 		Best: 905.7 		N:2
Houlihan       		Mean: 307.39 		Best: 905.68 		N:3
Pestana        		Mean: 306.38 		Best: 905.68 		N:3
Lytle          		Mean: 154.57 		Best: 905.88 		N:6
Thompson       		Mean: 154.5 		Best: 905.68 		N:6
Covino         		Mean: 309.32 		Best: 904.87 		N:3
Deremer        		Mean: 457.9 		Best: 904.74 		N:2

########## REPORT GEN: 9 ##########
SPECIES: 
Mitchell       		Mean: 132.14 		Best: 913.67 		N:7
Thompson       		Mean: 155.85 		Best: 913.67 		N:6
Roth           		Mean: 84.69 		Best: 911.79 		N:11
Lynn           		Mean: 103.49 		Best: 911.79 		N:9
Hutson         		Mean: 230.07 		Best: 911.79 		N:4
Fletcher       		Mean: 185.38 		Best: 911.79 		N:5
Stinger        		Mean: 132.01 		Best: 911.79 		N:7
Smith          		Mean: 307.35 		Best: 911.79 		N:3
Franklin       		Mean: 103.4 		Best: 911.79 		N:9
Pestana        		Mean: 92.77 		Best: 911.79 		N:10
Spinks         		Mean: 103.4 		Best: 909.3 		N:9
Rose           		Mean: 231.78 		Best: 905.88 		N:4
Roberts        		Mean: 231.67 		Best: 905.88 		N:4
Deremer        		Mean: 185.35 		Best: 905.88 		N:5
Toney          		Mean: 185.68 		Best: 911.79 		N:5
Liles          		Mean: 305.84 		Best: 905.72 		N:3
Houlihan       		Mean: 77.37 		Best: 907.08 		N:12
Lytle          		Mean: 230.74 		Best: 905.68 		N:4
Grove          		Mean: 153.6 		Best: 906.83 		N:6
Villamar       		Mean: 305.86 		Best: 907.08 		N:3
Covino         		Mean: 229.37 		Best: 901.45 		N:4
Adair          		Mean: 456.03 		Best: 901.33 		N:2

########## REPORT GEN: 10 ##########
SPECIES: 
Adair          		Mean: 133.03 		Best: 913.67 		N:7
Mitchell       		Mean: 132.47 		Best: 911.79 		N:7
Franklin       		Mean: 131.79 		Best: 911.79 		N:7
Pestana        		Mean: 132.66 		Best: 913.67 		N:7
Roberts        		Mean: 132.1 		Best: 911.79 		N:7
Toney          		Mean: 131.0 		Best: 911.79 		N:7
Liles          		Mean: 77.52 		Best: 911.79 		N:12
Villamar       		Mean: 458.58 		Best: 909.3 		N:2
Hutson         		Mean: 115.42 		Best: 905.88 		N:8
Stinger        		Mean: 154.68 		Best: 905.88 		N:6
Rose           		Mean: 307.05 		Best: 905.88 		N:3
Deremer        		Mean: 71.18 		Best: 905.88 		N:13
Fletcher       		Mean: 132.3 		Best: 905.72 		N:7
Smith          		Mean: 115.09 		Best: 905.72 		N:8
Houlihan       		Mean: 185.68 		Best: 911.79 		N:5
Day            		Mean: 182.52 		Best: 910.39 		N:5
Roth           		Mean: 102.76 		Best: 904.87 		N:9
Lytle          		Mean: 115.71 		Best: 905.1 		N:8
Thompson       		Mean: 230.63 		Best: 905.88 		N:4
Spinks         		Mean: 302.68 		Best: 901.33 		N:3
Lynn           		Mean: 455.15 		Best: 901.15 		N:2
Covino         		Mean: 184.14 		Best: 902.94 		N:5

########## REPORT GEN: 11 ##########
SPECIES: 
Adair          		Mean: 92.32 		Best: 913.67 		N:10
Roberts        		Mean: 154.83 		Best: 911.79 		N:6
Villamar       		Mean: 115.47 		Best: 911.79 		N:8
Hutson         		Mean: 103.12 		Best: 911.79 		N:9
Fletcher       		Mean: 92.54 		Best: 911.79 		N:10
Thompson       		Mean: 184.15 		Best: 911.79 		N:5
Lytle          		Mean: 460.24 		Best: 909.3 		N:2
Mitchell       		Mean: 184.98 		Best: 906.37 		N:5
Toney          		Mean: 184.71 		Best: 906.1 		N:5
Pestana        		Mean: 102.4 		Best: 905.88 		N:9
Covino         		Mean: 230.53 		Best: 905.88 		N:4
Liles          		Mean: 231.4 		Best: 905.88 		N:4
Rose           		Mean: 114.84 		Best: 905.72 		N:8
Day            		Mean: 227.72 		Best: 905.08 		N:4
Smith          		Mean: 230.56 		Best: 904.87 		N:4
Spinks         		Mean: 131.89 		Best: 905.08 		N:7
Stinger        		Mean: 228.18 		Best: 901.71 		N:4
Franklin       		Mean: 301.17 		Best: 901.02 		N:3
Deremer        		Mean: 454.37 		Best: 901.02 		N:2
Houlihan       		Mean: 228.73 		Best: 901.33 		N:4
Lynn           		Mean: 228.41 		Best: 901.33 		N:4
Roth           		Mean: 451.1 		Best: 900.57 		N:2

########## REPORT GEN: 12 ##########
SPECIES: 
Lytle          		Mean: 132.06 		Best: 913.67 		N:7
Stinger        		Mean: 102.69 		Best: 913.67 		N:9
Thompson       		Mean: 132.88 		Best: 911.79 		N:7
Houlihan       		Mean: 102.47 		Best: 911.79 		N:9
Pestana        		Mean: 229.72 		Best: 906.1 		N:4
Roberts        		Mean: 305.11 		Best: 905.88 		N:3
Mitchell       		Mean: 230.37 		Best: 905.88 		N:4
Smith          		Mean: 231.28 		Best: 905.88 		N:4
Spinks         		Mean: 115.68 		Best: 906.37 		N:8
Villamar       		Mean: 115.51 		Best: 911.79 		N:8
Hutson         		Mean: 153.54 		Best: 905.72 		N:6
Liles          		Mean: 83.84 		Best: 905.92 		N:11
Toney          		Mean: 114.85 		Best: 901.88 		N:8
Grove          		Mean: 131.57 		Best: 901.88 		N:7
Roth           		Mean: 456.47 		Best: 901.65 		N:2
Fletcher       		Mean: 457.65 		Best: 901.03 		N:2
Covino         		Mean: 228.05 		Best: 904.16 		N:4
Deremer        		Mean: 451.8 		Best: 901.0 		N:2
Rose           		Mean: 102.19 		Best: 901.88 		N:9
