########## REPORT GEN: 2 ##########
SPECIES: 
Stoica         		Mean: 1.32 		Best: 9.6 		Nº:5
Schluter       		Mean: 0.76 		Best: 9.6 		Nº:10
Oconnor        		Mean: 0.71 		Best: 9.6 		Nº:7
Rodriguez      		Mean: 1.24 		Best: 9.6 		Nº:6
Clary          		Mean: 0.86 		Best: 9.6 		Nº:8
Magana         		Mean: 0.53 		Best: 9.6 		Nº:8
Ransdell       		Mean: 0.6  		Best: 9.6 		Nº:4
Sanchez        		Mean: 1.12 		Best: 9.6 		Nº:5
Jackson        		Mean: 1.15 		Best: 9.6 		Nº:4
Combs          		Mean: 1.15 		Best: 9.6 		Nº:4
Edward         		Mean: 0.35 		Best: 8.71 		Nº:5
Headley        		Mean: 0.55 		Best: 8.71 		Nº:4
Kidd           		Mean: 0.24 		Best: 8.71 		Nº:6
Jones          		Mean: 0.48 		Best: 8.71 		Nº:6
Mcbride        		Mean: 0.49 		Best: 7.77 		Nº:4
Crow           		Mean: 1.96 		Best: 7.77 		Nº:2
Vick           		Mean: 0.0  		Best: 0.0 		Nº:4

########## REPORT GEN: 9 ##########
SPECIES: 
Holcombe       		Mean: 0.53 		Best: 9.6 		Nº:10
Schluter       		Mean: 0.67 		Best: 9.6 		Nº:7
Oconnor        		Mean: 1.01 		Best: 9.6 		Nº:7
Rodriguez      		Mean: 0.68 		Best: 9.6 		Nº:12
Clary          		Mean: 1.04 		Best: 9.6 		Nº:8
Ransdell       		Mean: 0.78 		Best: 9.6 		Nº:6
Sanchez        		Mean: 0.34 		Best: 9.6 		Nº:10
Jackson        		Mean: 0.83 		Best: 9.6 		Nº:8
Combs          		Mean: 0.3  		Best: 9.6 		Nº:8
Mcbride        		Mean: 0.39 		Best: 9.6 		Nº:5
Crow           		Mean: 0.6  		Best: 9.6 		Nº:4
Stoica         		Mean: 0.34 		Best: 8.71 		Nº:10
Magana         		Mean: 0.89 		Best: 8.71 		Nº:6
Headley        		Mean: 0.7  		Best: 8.71 		Nº:5
Kidd           		Mean: 0.97 		Best: 8.71 		Nº:3
Edward         		Mean: 0.0  		Best: 0.0 		Nº:3
Jones          		Mean: 0.0  		Best: 0.0 		Nº:4
Vick           		Mean: 0.0  		Best: 0.0 		Nº:2

########## REPORT GEN: 10 ##########
SPECIES: 
Holcombe       		Mean: 0.55 		Best: 9.6 		Nº:7
Schluter       		Mean: 0.51 		Best: 9.6 		Nº:10
Oconnor        		Mean: 0.44 		Best: 9.6 		Nº:14
Rodriguez      		Mean: 0.51 		Best: 9.6 		Nº:10
Clary          		Mean: 0.34 		Best: 9.6 		Nº:15
Ransdell       		Mean: 0.41 		Best: 9.6 		Nº:12
Sanchez        		Mean: 1.67 		Best: 9.6 		Nº:5
Jackson        		Mean: 0.54 		Best: 9.6 		Nº:12
Mcbride        		Mean: 0.77 		Best: 9.6 		Nº:5
Crow           		Mean: 0.42 		Best: 9.6 		Nº:8
Stoica         		Mean: 1.12 		Best: 9.6 		Nº:5
Magana         		Mean: 0.37 		Best: 9.6 		Nº:12
Kidd           		Mean: 0.48 		Best: 9.6 		Nº:6
Jones          		Mean: 2.4  		Best: 9.6 		Nº:2
Headley        		Mean: 0.17 		Best: 8.71 		Nº:10
Combs          		Mean: 0.0  		Best: 0.0 		Nº:4

########## REPORT GEN: 11 ##########
SPECIES: 
Holcombe       		Mean: 1.15 		Best: 9.6 		Nº:4
Schluter       		Mean: 1.47 		Best: 9.6 		Nº:5
Oconnor        		Mean: 0.75 		Best: 9.6 		Nº:7
Rodriguez      		Mean: 1.05 		Best: 9.6 		Nº:5
Clary          		Mean: 0.73 		Best: 9.6 		Nº:7
Ransdell       		Mean: 0.92 		Best: 9.6 		Nº:6
Sanchez        		Mean: 0.57 		Best: 9.6 		Nº:10
Jackson        		Mean: 0.48 		Best: 9.6 		Nº:6
Mcbride        		Mean: 0.7  		Best: 9.6 		Nº:5
Crow           		Mean: 0.7  		Best: 9.6 		Nº:5
Kidd           		Mean: 1.07 		Best: 9.6 		Nº:3
Edward         		Mean: 4.58 		Best: 9.6 		Nº:2
Headley        		Mean: 0.7  		Best: 9.6 		Nº:5
Stoica         		Mean: 0.41 		Best: 8.71 		Nº:8
Jones          		Mean: 0.55 		Best: 8.71 		Nº:4
Combs          		Mean: 2.18 		Best: 8.71 		Nº:2
Magana         		Mean: 0.22 		Best: 7.77 		Nº:6

########## REPORT GEN: 12 ##########
SPECIES: 
Oconnor        		Mean: 2.18 		Best: 9.6 		Nº:4
Jackson        		Mean: 1.93 		Best: 9.6 		Nº:3
Mcbride        		Mean: 1.94 		Best: 9.6 		Nº:3
Kidd           		Mean: 0.77 		Best: 9.6 		Nº:5
Edward         		Mean: 1.2  		Best: 9.6 		Nº:4
Schluter       		Mean: 0.67 		Best: 8.71 		Nº:8
Rodriguez      		Mean: 1.01 		Best: 8.71 		Nº:5
Clary          		Mean: 1.03 		Best: 8.71 		Nº:4
Ransdell       		Mean: 0.35 		Best: 8.71 		Nº:5
Sanchez        		Mean: 0.66 		Best: 8.71 		Nº:5
Headley        		Mean: 0.97 		Best: 8.71 		Nº:3
Jones          		Mean: 1.84 		Best: 8.71 		Nº:3
Magana         		Mean: 1.83 		Best: 8.71 		Nº:3
Crow           		Mean: 0.87 		Best: 7.77 		Nº:3
Stoica         		Mean: 0.49 		Best: 7.77 		Nº:4
Vick           		Mean: 1.94 		Best: 7.77 		Nº:2
Holcombe       		Mean: 0.0  		Best: 0.0 		Nº:6
Combs          		Mean: 0.0  		Best: 0.0 		Nº:4
Hood           		Mean: 0.0  		Best: 0.0 		Nº:2

########## REPORT GEN: 13 ##########
SPECIES: 
Oconnor        		Mean: 0.82 		Best: 9.6 		Nº:8
Edward         		Mean: 0.94 		Best: 9.6 		Nº:6
Clary          		Mean: 1.04 		Best: 9.6 		Nº:5
Headley        		Mean: 0.39 		Best: 9.6 		Nº:5
Jones          		Mean: 0.51 		Best: 9.6 		Nº:6
Magana         		Mean: 0.75 		Best: 9.6 		Nº:6
Jackson        		Mean: 0.48 		Best: 8.71 		Nº:6
Schluter       		Mean: 1.03 		Best: 8.71 		Nº:4
Rodriguez      		Mean: 1.01 		Best: 8.71 		Nº:5
Ransdell       		Mean: 2.19 		Best: 8.71 		Nº:2
Sanchez        		Mean: 0.97 		Best: 8.71 		Nº:3
Holcombe       		Mean: 1.84 		Best: 8.71 		Nº:3
Mcbride        		Mean: 0.43 		Best: 7.77 		Nº:6
Kidd           		Mean: 0.49 		Best: 7.77 		Nº:4
Lavoie         		Mean: 1.94 		Best: 7.77 		Nº:2
Crow           		Mean: 0.31 		Best: 7.77 		Nº:5
Vick           		Mean: 0.97 		Best: 7.77 		Nº:4
Combs          		Mean: 1.94 		Best: 7.77 		Nº:2
Stoica         		Mean: 0.0  		Best: 0.0 		Nº:2

########## REPORT GEN: 14 ##########
SPECIES: 
Oconnor        		Mean: 1.09 		Best: 9.6 		Nº:4
