########## REPORT GEN: 2 ##########
SPECIES: 
Darden         		Mean: 228.47 		Best: 897.49 		N:4
Jaeger         		Mean: 228.99 		Best: 897.51 		N:4
Klaus          		Mean: 457.61 		Best: 897.47 		N:2
Dobson         		Mean: 303.18 		Best: 897.45 		N:3
Brandt         		Mean: 306.82 		Best: 898.1 		N:3
Grant          		Mean: 153.79 		Best: 898.1 		N:6
Markley        		Mean: 305.94 		Best: 902.11 		N:3
Oliver         		Mean: 182.47 		Best: 897.45 		N:5

########## REPORT GEN: 11 ##########
SPECIES: 
Mcgown         		Mean: 228.77 		Best: 902.11 		N:4
Darden         		Mean: 230.21 		Best: 902.11 		N:4
Jaeger         		Mean: 460.08 		Best: 902.11 		N:2
Dobson         		Mean: 131.74 		Best: 902.11 		N:7
Grant          		Mean: 153.53 		Best: 902.11 		N:6
Oliver         		Mean: 153.19 		Best: 902.11 		N:6
Joseph         		Mean: 115.3 		Best: 898.1 		N:8
Brandt         		Mean: 302.99 		Best: 898.1 		N:3
Gordon         		Mean: 455.74 		Best: 897.49 		N:2
Markley        		Mean: 454.36 		Best: 897.47 		N:2
Darden         		Mean: 183.96 		Best: 897.47 		N:5
Klaus          		Mean: 300.61 		Best: 897.45 		N:3
George         		Mean: 303.75 		Best: 897.45 		N:3

########## REPORT GEN: 12 ##########
SPECIES: 
Dobson         		Mean: 304.67 		Best: 902.11 		N:3
Norman         		Mean: 153.23 		Best: 902.11 		N:6
Darden         		Mean: 152.8 		Best: 902.11 		N:6
Klaus          		Mean: 306.94 		Best: 902.11 		N:3
Brandt         		Mean: 152.7 		Best: 898.1 		N:6
Gordon         		Mean: 183.36 		Best: 898.1 		N:5
Mcgown         		Mean: 305.3 		Best: 897.47 		N:3
Oliver         		Mean: 304.01 		Best: 897.47 		N:3
Jaeger         		Mean: 228.54 		Best: 897.47 		N:4
Joseph         		Mean: 102.15 		Best: 902.11 		N:9
George         		Mean: 229.54 		Best: 897.47 		N:4
Markley        		Mean: 183.88 		Best: 902.11 		N:5

########## REPORT GEN: 13 ##########
SPECIES: 
Brandt         		Mean: 183.8 		Best: 905.02 		N:5
Darden         		Mean: 183.57 		Best: 902.11 		N:5
Klaus          		Mean: 456.31 		Best: 902.11 		N:2
Grant          		Mean: 457.86 		Best: 902.11 		N:2
Markley        		Mean: 229.29 		Best: 902.11 		N:4
Norman         		Mean: 131.41 		Best: 903.61 		N:7
George         		Mean: 131.41 		Best: 898.4 		N:7
Darden         		Mean: 102.21 		Best: 898.1 		N:9
Mcgown         		Mean: 152.38 		Best: 897.47 		N:6
Oliver         		Mean: 305.84 		Best: 897.45 		N:3
Jaeger         		Mean: 299.72 		Best: 897.45 		N:3
Joseph         		Mean: 449.19 		Best: 897.45 		N:2
Gordon         		Mean: 303.86 		Best: 897.46 		N:3

########## REPORT GEN: 14 ##########
SPECIES: 
Mcgown         		Mean: 183.91 		Best: 905.02 		N:5
Darden         		Mean: 115.38 		Best: 903.61 		N:8
Oliver         		Mean: 114.9 		Best: 902.11 		N:8
Gordon         		Mean: 101.74 		Best: 902.11 		N:9
Klaus          		Mean: 453.93 		Best: 897.46 		N:2
Dobson         		Mean: 228.07 		Best: 897.48 		N:4
Jaeger         		Mean: 453.82 		Best: 897.45 		N:2
Norman         		Mean: 452.18 		Best: 897.45 		N:2
Joseph         		Mean: 229.69 		Best: 898.4 		N:4
Darden         		Mean: 115.02 		Best: 902.11 		N:8
