########## REPORT GEN: 2 ##########
SPECIES: 
Hunt           		Mean: 71.63 		Best: 922.38 		N:13
Tim            		Mean: 309.85 		Best: 917.57 		N:3
Jara           		Mean: 93.24 		Best: 917.25 		N:10
Walker         		Mean: 154.99 		Best: 909.68 		N:6

########## REPORT GEN: 12 ##########
SPECIES: 
Gittens        		Mean: 85.68 		Best: 941.15 		N:11
Yuro           		Mean: 187.72 		Best: 941.14 		N:5
Hunt           		Mean: 234.13 		Best: 941.14 		N:4
Strohman       		Mean: 77.94 		Best: 927.88 		N:12
Jara           		Mean: 116.49 		Best: 927.88 		N:8
Walker         		Mean: 85.13 		Best: 927.88 		N:11
Clark          		Mean: 156.64 		Best: 923.05 		N:6
Shriver        		Mean: 465.39 		Best: 920.17 		N:2
Tim            		Mean: 155.27 		Best: 919.04 		N:6
Starr          		Mean: 116.37 		Best: 917.25 		N:8
Corry          		Mean: 307.38 		Best: 904.35 		N:3

########## REPORT GEN: 13 ##########
SPECIES: 
Yuro           		Mean: 134.17 		Best: 941.14 		N:7
Hunt           		Mean: 117.55 		Best: 941.15 		N:8
Walker         		Mean: 186.54 		Best: 941.14 		N:5
Starr          		Mean: 133.43 		Best: 941.14 		N:7
Corry          		Mean: 155.29 		Best: 927.88 		N:6
Jara           		Mean: 155.6 		Best: 926.91 		N:6
Shriver        		Mean: 116.92 		Best: 926.91 		N:8
Gittens        		Mean: 154.84 		Best: 920.17 		N:6
Tim            		Mean: 132.75 		Best: 914.65 		N:7
Clark          		Mean: 184.59 		Best: 904.35 		N:5
Strohman       		Mean: 304.16 		Best: 903.71 		N:3

########## REPORT GEN: 14 ##########
SPECIES: 
Corry          		Mean: 157.26 		Best: 941.14 		N:6
Gittens        		Mean: 93.23 		Best: 941.14 		N:10
Clark          		Mean: 134.86 		Best: 941.14 		N:7
Strohman       		Mean: 85.19 		Best: 941.14 		N:11
Walker         		Mean: 132.44 		Best: 926.91 		N:7
Jara           		Mean: 84.15 		Best: 926.91 		N:11
Yuro           		Mean: 133.19 		Best: 923.99 		N:7
Tim            		Mean: 116.0 		Best: 922.89 		N:8
Hunt           		Mean: 185.69 		Best: 920.89 		N:5
Shriver        		Mean: 154.6 		Best: 919.18 		N:6
Starr          		Mean: 185.46 		Best: 917.57 		N:5

########## REPORT GEN: 15 ##########
SPECIES: 
Jara           		Mean: 93.2 		Best: 941.14 		N:10
Tim            		Mean: 93.16 		Best: 941.14 		N:10
Hunt           		Mean: 117.48 		Best: 941.14 		N:8
Shriver        		Mean: 85.22 		Best: 941.14 		N:11
Gittens        		Mean: 103.16 		Best: 926.91 		N:9
Walker         		Mean: 103.06 		Best: 926.91 		N:9
Yuro           		Mean: 186.4 		Best: 922.89 		N:5
Corry          		Mean: 185.27 		Best: 920.89 		N:5
Clark          		Mean: 77.19 		Best: 917.57 		N:12
Strohman       		Mean: 307.95 		Best: 908.92 		N:3
Starr          		Mean: 115.13 		Best: 901.17 		N:8

########## REPORT GEN: 16 ##########
SPECIES: 
Jara           		Mean: 117.08 		Best: 941.14 		N:8
Gittens        		Mean: 92.88 		Best: 941.14 		N:10
Yuro           		Mean: 314.1 		Best: 941.14 		N:3
Clark          		Mean: 156.17 		Best: 941.14 		N:6
Shriver        		Mean: 154.98 		Best: 920.89 		N:6
Corry          		Mean: 185.06 		Best: 920.89 		N:5
Strohman       		Mean: 153.77 		Best: 919.18 		N:6
Starr          		Mean: 153.82 		Best: 910.15 		N:6
Walker         		Mean: 153.7 		Best: 908.92 		N:6
Hunt           		Mean: 76.6 		Best: 908.92 		N:12
Tim            		Mean: 91.82 		Best: 908.92 		N:10

########## REPORT GEN: 17 ##########
SPECIES: 
Clark          		Mean: 117.51 		Best: 950.39 		N:8
Corry          		Mean: 116.1 		Best: 941.14 		N:8
Starr          		Mean: 155.32 		Best: 941.14 		N:6
Hunt           		Mean: 132.52 		Best: 941.14 		N:7
Shriver        		Mean: 77.35 		Best: 936.69 		N:12
Jara           		Mean: 102.97 		Best: 926.91 		N:9
Tim            		Mean: 154.45 		Best: 922.89 		N:6
Gittens        		Mean: 115.31 		Best: 919.04 		N:8
Yuro           		Mean: 102.53 		Best: 908.92 		N:9
Walker         		Mean: 229.75 		Best: 908.92 		N:4
Strohman       		Mean: 114.74 		Best: 907.99 		N:8

########## REPORT GEN: 18 ##########
SPECIES: 
Corry          		Mean: 133.0 		Best: 950.39 		N:7
Strohman       		Mean: 115.68 		Best: 950.39 		N:8
Starr          		Mean: 92.66 		Best: 941.14 		N:10
Tim            		Mean: 115.51 		Best: 941.14 		N:8
Walker         		Mean: 84.52 		Best: 941.14 		N:11
Clark          		Mean: 92.44 		Best: 936.69 		N:10
Yuro           		Mean: 115.42 		Best: 926.91 		N:8
Hunt           		Mean: 153.9 		Best: 922.89 		N:6
Gittens        		Mean: 114.91 		Best: 908.92 		N:8
Shriver        		Mean: 114.94 		Best: 901.17 		N:8
Jara           		Mean: 182.17 		Best: 900.43 		N:5

########## REPORT GEN: 19 ##########
SPECIES: 
Clark          		Mean: 311.23 		Best: 950.39 		N:3
Starr          		Mean: 54.53 		Best: 941.14 		N:17
Yuro           		Mean: 84.16 		Best: 941.14 		N:11
Hunt           		Mean: 84.31 		Best: 941.14 		N:11
Jara           		Mean: 230.42 		Best: 926.91 		N:4
Tim            		Mean: 131.73 		Best: 922.89 		N:7
Walker         		Mean: 152.44 		Best: 922.89 		N:6
Strohman       		Mean: 230.0 		Best: 914.18 		N:4
Corry          		Mean: 152.43 		Best: 901.39 		N:6
Gittens        		Mean: 83.61 		Best: 908.92 		N:11
Shriver        		Mean: 83.33 		Best: 900.66 		N:11

########## REPORT GEN: 20 ##########
SPECIES: 
Clark          		Mean: 154.19 		Best: 950.39 		N:6
Starr          		Mean: 155.46 		Best: 950.39 		N:6
Yuro           		Mean: 132.54 		Best: 950.39 		N:7
Hunt           		Mean: 84.61 		Best: 950.39 		N:11
Walker         		Mean: 84.39 		Best: 941.14 		N:11
Gittens        		Mean: 131.62 		Best: 926.35 		N:7
Tim            		Mean: 131.65 		Best: 922.89 		N:7
Shriver        		Mean: 153.4 		Best: 915.85 		N:6
Jara           		Mean: 101.93 		Best: 900.43 		N:9
Strohman       		Mean: 229.08 		Best: 900.29 		N:4
Corry          		Mean: 226.32 		Best: 900.13 		N:4

########## REPORT GEN: 21 ##########
SPECIES: 
Clark          		Mean: 153.8 		Best: 950.39 		N:6
Walker         		Mean: 103.05 		Best: 950.39 		N:9
Shriver        		Mean: 116.73 		Best: 950.39 		N:8
Jara           		Mean: 116.87 		Best: 950.39 		N:8
Starr          		Mean: 92.39 		Best: 926.91 		N:10
Yuro           		Mean: 92.17 		Best: 926.91 		N:10
Hunt           		Mean: 131.72 		Best: 922.89 		N:7
Gittens        		Mean: 152.78 		Best: 920.64 		N:6
Strohman       		Mean: 114.94 		Best: 913.83 		N:8
Corry          		Mean: 183.1 		Best: 901.39 		N:5
Tim            		Mean: 114.7 		Best: 900.29 		N:8

########## REPORT GEN: 22 ##########
SPECIES: 
Walker         		Mean: 132.74 		Best: 950.39 		N:7
Jara           		Mean: 83.84 		Best: 950.39 		N:11
Hunt           		Mean: 102.56 		Best: 950.39 		N:9
Strohman       		Mean: 116.26 		Best: 950.39 		N:8
Tim            		Mean: 66.3 		Best: 950.39 		N:14
Gittens        		Mean: 131.85 		Best: 926.91 		N:7
Starr          		Mean: 131.41 		Best: 920.64 		N:7
Shriver        		Mean: 115.34 		Best: 920.36 		N:8
Clark          		Mean: 114.92 		Best: 919.14 		N:8
Corry          		Mean: 91.76 		Best: 907.99 		N:10
Yuro           		Mean: 304.31 		Best: 900.15 		N:3

########## REPORT GEN: 23 ##########
SPECIES: 
Hunt           		Mean: 115.04 		Best: 950.39 		N:8
Strohman       		Mean: 131.62 		Best: 950.39 		N:7
Tim            		Mean: 155.49 		Best: 950.39 		N:6
Starr          		Mean: 115.96 		Best: 950.39 		N:8
Yuro           		Mean: 102.9 		Best: 950.39 		N:9
Walker         		Mean: 70.96 		Best: 943.16 		N:13
Jara           		Mean: 230.11 		Best: 926.91 		N:4
Gittens        		Mean: 131.31 		Best: 926.2 		N:7
Clark          		Mean: 233.0 		Best: 926.04 		N:4
Shriver        		Mean: 83.49 		Best: 907.99 		N:11
Corry          		Mean: 152.46 		Best: 901.94 		N:6

########## REPORT GEN: 24 ##########
SPECIES: 
Hunt           		Mean: 103.36 		Best: 950.39 		N:9
Tim            		Mean: 132.72 		Best: 950.39 		N:7
Starr          		Mean: 155.68 		Best: 950.39 		N:6
Shriver        		Mean: 133.85 		Best: 950.39 		N:7
Jara           		Mean: 154.14 		Best: 927.55 		N:6
Walker         		Mean: 65.74 		Best: 926.91 		N:14
Strohman       		Mean: 131.33 		Best: 926.04 		N:7
Yuro           		Mean: 114.79 		Best: 926.04 		N:8
Gittens        		Mean: 131.64 		Best: 920.36 		N:7
Clark          		Mean: 114.12 		Best: 900.17 		N:8
Corry          		Mean: 227.82 		Best: 900.12 		N:4

########## REPORT GEN: 25 ##########
SPECIES: 
Hunt           		Mean: 155.41 		Best: 950.39 		N:6
Starr          		Mean: 184.85 		Best: 950.39 		N:5
Yuro           		Mean: 93.39 		Best: 950.39 		N:10
Jara           		Mean: 186.13 		Best: 950.39 		N:5
Walker         		Mean: 184.34 		Best: 943.16 		N:5
Corry          		Mean: 83.69 		Best: 927.55 		N:11
Tim            		Mean: 115.3 		Best: 926.47 		N:8
Strohman       		Mean: 102.03 		Best: 926.47 		N:9
Gittens        		Mean: 70.69 		Best: 926.04 		N:13
Clark          		Mean: 131.5 		Best: 926.04 		N:7
Shriver        		Mean: 83.59 		Best: 920.36 		N:11

########## REPORT GEN: 26 ##########
