########## REPORT GEN: 2 ##########
SPECIES: 
Roberts        		Mean: 190.87 		Best: 941.16 		N:5
Avila          		Mean: 468.59 		Best: 941.16 		N:2
Smith          		Mean: 238.25 		Best: 941.16 		N:4
Wolf           		Mean: 236.62 		Best: 941.16 		N:4
Hoffarth       		Mean: 238.45 		Best: 941.16 		N:4
Berry          		Mean: 313.54 		Best: 941.16 		N:3
Travis         		Mean: 316.78 		Best: 941.16 		N:3
Larson         		Mean: 464.86 		Best: 929.42 		N:2
Smith          		Mean: 462.59 		Best: 925.49 		N:2
Stull          		Mean: 460.84 		Best: 925.49 		N:2
Elliott        		Mean: 227.9 		Best: 922.95 		N:4
Wheeles        		Mean: 312.15 		Best: 923.72 		N:3

########## REPORT GEN: 8 ##########
SPECIES: 
Argueta        		Mean: 238.01 		Best: 941.16 		N:4
Patterson      		Mean: 159.03 		Best: 941.16 		N:6
Simoneavd      		Mean: 240.46 		Best: 941.16 		N:4
Gunia          		Mean: 156.61 		Best: 941.16 		N:6
Davis          		Mean: 316.29 		Best: 941.16 		N:3
Roberts        		Mean: 476.86 		Best: 941.16 		N:2
Wolf           		Mean: 318.6 		Best: 941.16 		N:3
Drake          		Mean: 238.58 		Best: 941.16 		N:4
Travis         		Mean: 136.5 		Best: 941.16 		N:7
Hernandez      		Mean: 158.69 		Best: 941.16 		N:6
Brooks         		Mean: 310.61 		Best: 929.42 		N:3
Smith          		Mean: 308.14 		Best: 925.49 		N:3
Stull          		Mean: 307.74 		Best: 925.49 		N:3
Wheeles        		Mean: 307.32 		Best: 921.97 		N:3
Avila          		Mean: 456.56 		Best: 913.12 		N:2

########## REPORT GEN: 9 ##########
SPECIES: 
Berry          		Mean: 235.32 		Best: 941.16 		N:4
Patterson      		Mean: 236.43 		Best: 941.16 		N:4
Simoneavd      		Mean: 135.0 		Best: 941.16 		N:7
Curry          		Mean: 475.17 		Best: 941.16 		N:2
Smith          		Mean: 136.53 		Best: 941.16 		N:7
Drake          		Mean: 316.82 		Best: 941.16 		N:3
Travis         		Mean: 314.91 		Best: 941.16 		N:3
Brooks         		Mean: 472.67 		Best: 941.16 		N:2
Avila          		Mean: 133.84 		Best: 941.16 		N:7
Roberts        		Mean: 315.16 		Best: 941.16 		N:3
Wolf           		Mean: 158.94 		Best: 941.16 		N:6
