########## REPORT GEN: 2 ##########
SPECIES: 
Christian      		Mean: 461.57 		Best: 901.39 		N:2
Hanson         		Mean: 104.72 		Best: 901.54 		N:9
Stover         		Mean: 454.19 		Best: 900.91 		N:2
Mcqueen        		Mean: 229.16 		Best: 900.77 		N:4
Denton         		Mean: 184.35 		Best: 900.77 		N:5
Sides          		Mean: 465.89 		Best: 900.77 		N:2
Kurtz          		Mean: 310.94 		Best: 901.39 		N:3
Miles          		Mean: 94.6 		Best: 909.0 		N:10
Campbell       		Mean: 227.79 		Best: 901.62 		N:4
Wade           		Mean: 130.38 		Best: 900.37 		N:7

########## REPORT GEN: 9 ##########
SPECIES: 
Burr           		Mean: 105.05 		Best: 928.57 		N:9
Hanson         		Mean: 104.47 		Best: 928.36 		N:9
Denton         		Mean: 157.16 		Best: 928.36 		N:6
Kurtz          		Mean: 187.42 		Best: 925.66 		N:5
Murray         		Mean: 117.27 		Best: 909.0 		N:8
Sides          		Mean: 133.71 		Best: 901.54 		N:7
Crawford       		Mean: 450.7 		Best: 901.39 		N:2
Christian      		Mean: 310.09 		Best: 901.54 		N:3
Wilson         		Mean: 233.88 		Best: 901.39 		N:4
Miles          		Mean: 228.84 		Best: 901.02 		N:4
Stover         		Mean: 453.73 		Best: 900.91 		N:2
Bitter         		Mean: 461.63 		Best: 900.74 		N:2
Mcqueen        		Mean: 232.78 		Best: 900.65 		N:4
Stark          		Mean: 133.56 		Best: 901.54 		N:7
Parker         		Mean: 155.32 		Best: 901.39 		N:6
Campbell       		Mean: 94.19 		Best: 909.0 		N:10
Siefke         		Mean: 310.58 		Best: 901.09 		N:3

########## REPORT GEN: 10 ##########
SPECIES: 
Burr           		Mean: 157.56 		Best: 934.03 		N:6
Miles          		Mean: 235.85 		Best: 934.03 		N:4
Wilson         		Mean: 313.35 		Best: 928.57 		N:3
Stark          		Mean: 185.27 		Best: 928.36 		N:5
Siefke         		Mean: 133.16 		Best: 928.36 		N:7
Wade           		Mean: 133.09 		Best: 909.0 		N:7
Kurtz          		Mean: 187.14 		Best: 901.54 		N:5
Bowers         		Mean: 232.64 		Best: 901.39 		N:4
Christian      		Mean: 310.31 		Best: 901.39 		N:3
Mcqueen        		Mean: 459.63 		Best: 901.39 		N:2
Sides          		Mean: 230.09 		Best: 900.77 		N:4
Horton         		Mean: 155.8 		Best: 900.77 		N:6
Denton         		Mean: 456.37 		Best: 900.77 		N:2
Parker         		Mean: 231.55 		Best: 900.55 		N:4
Bitter         		Mean: 307.55 		Best: 900.71 		N:3
Crawford       		Mean: 103.39 		Best: 900.47 		N:9
Mclemore       		Mean: 307.69 		Best: 900.82 		N:3
Porter         		Mean: 308.5 		Best: 901.39 		N:3
Campbell       		Mean: 231.44 		Best: 900.77 		N:4

########## REPORT GEN: 11 ##########
SPECIES: 
Christian      		Mean: 187.6 		Best: 934.03 		N:5
