########## REPORT GEN: 2 ##########
SPECIES: 
Harris         		Mean: 114.82 		Best: 904.13 		N:8
Kotterna       		Mean: 83.36 		Best: 906.05 		N:11
Wegner         		Mean: 130.74 		Best: 903.6 		N:7
Ferrell        		Mean: 76.69 		Best: 901.54 		N:12
Burke          		Mean: 114.62 		Best: 901.94 		N:8

########## REPORT GEN: 10 ##########
SPECIES: 
Aguilar        		Mean: 114.68 		Best: 919.7 		N:8
Burke          		Mean: 65.58 		Best: 911.26 		N:14
Oldham         		Mean: 101.69 		Best: 909.88 		N:9
Ferrell        		Mean: 57.42 		Best: 908.23 		N:16
Nance          		Mean: 83.55 		Best: 908.2 		N:11
Wegner         		Mean: 65.67 		Best: 907.17 		N:14
Koehn          		Mean: 57.42 		Best: 906.41 		N:16
Berry          		Mean: 54.06 		Best: 905.77 		N:17
Lee            		Mean: 83.13 		Best: 904.69 		N:11
Andrews        		Mean: 70.58 		Best: 905.83 		N:13
Tuggle         		Mean: 65.37 		Best: 904.28 		N:14
Kotterna       		Mean: 130.9 		Best: 904.12 		N:7
Collazo        		Mean: 130.46 		Best: 904.38 		N:7
Jones          		Mean: 70.58 		Best: 904.61 		N:13
Harris         		Mean: 114.26 		Best: 901.06 		N:8
Morris         		Mean: 113.82 		Best: 898.22 		N:8

########## REPORT GEN: 11 ##########
SPECIES: 
Harris         		Mean: 83.37 		Best: 921.24 		N:11
Aguilar        		Mean: 76.57 		Best: 919.36 		N:12
Andrews        		Mean: 65.59 		Best: 909.26 		N:14
Morris         		Mean: 57.21 		Best: 909.19 		N:16
Berry          		Mean: 91.81 		Best: 908.89 		N:10
Oldham         		Mean: 82.99 		Best: 908.32 		N:11
Lee            		Mean: 83.1 		Best: 908.05 		N:11
Kotterna       		Mean: 53.97 		Best: 908.56 		N:17
Koehn          		Mean: 65.3 		Best: 904.01 		N:14
Nance          		Mean: 114.16 		Best: 901.06 		N:8
Jones          		Mean: 45.74 		Best: 903.07 		N:20
Collazo        		Mean: 151.57 		Best: 899.98 		N:6
Burke          		Mean: 101.12 		Best: 901.93 		N:9
Tuggle         		Mean: 101.1 		Best: 899.94 		N:9
Wegner         		Mean: 100.85 		Best: 897.92 		N:9
Ferrell        		Mean: 113.39 		Best: 900.61 		N:8

########## REPORT GEN: 12 ##########
SPECIES: 
Harris         		Mean: 60.91 		Best: 922.75 		N:15
Kotterna       		Mean: 65.08 		Best: 917.72 		N:14
Lee            		Mean: 91.57 		Best: 911.19 		N:10
Nance          		Mean: 91.54 		Best: 909.38 		N:10
Morris         		Mean: 56.98 		Best: 908.56 		N:16
Andrews        		Mean: 53.87 		Best: 908.28 		N:17
Jones          		Mean: 182.14 		Best: 907.95 		N:5
Burke          		Mean: 113.85 		Best: 905.64 		N:8
Wegner         		Mean: 60.78 		Best: 905.32 		N:15
Ferrell        		Mean: 70.26 		Best: 905.03 		N:13
Tuggle         		Mean: 70.27 		Best: 903.68 		N:13
Koehn          		Mean: 83.15 		Best: 903.34 		N:11
Oldham         		Mean: 75.72 		Best: 902.66 		N:12
Berry          		Mean: 82.87 		Best: 901.64 		N:11
Collazo        		Mean: 70.42 		Best: 907.66 		N:13
Aguilar        		Mean: 181.45 		Best: 901.87 		N:5

########## REPORT GEN: 13 ##########
SPECIES: 
Berry          		Mean: 76.18 		Best: 924.28 		N:12
Kotterna       		Mean: 65.27 		Best: 922.55 		N:14
Jones          		Mean: 70.32 		Best: 921.12 		N:13
Collazo        		Mean: 83.25 		Best: 920.42 		N:11
Oldham         		Mean: 82.72 		Best: 909.47 		N:11
Tuggle         		Mean: 69.95 		Best: 908.53 		N:13
Burke          		Mean: 60.92 		Best: 907.55 		N:15
Lee            		Mean: 60.76 		Best: 906.77 		N:15
Andrews        		Mean: 114.23 		Best: 906.52 		N:8
Aguilar        		Mean: 114.07 		Best: 905.74 		N:8
Harris         		Mean: 75.95 		Best: 905.1 		N:12
Nance          		Mean: 130.59 		Best: 904.26 		N:7
Morris         		Mean: 182.03 		Best: 903.84 		N:5
Wegner         		Mean: 227.93 		Best: 901.02 		N:4
Ferrell        		Mean: 91.03 		Best: 900.21 		N:10
Koehn          		Mean: 450.38 		Best: 899.22 		N:2

########## REPORT GEN: 14 ##########
SPECIES: 
Harris         		Mean: 82.87 		Best: 923.9 		N:11
Burke          		Mean: 130.65 		Best: 922.08 		N:7
Wegner         		Mean: 53.58 		Best: 920.87 		N:17
Andrews        		Mean: 102.07 		Best: 920.68 		N:9
Aguilar        		Mean: 90.81 		Best: 920.06 		N:10
Kotterna       		Mean: 113.68 		Best: 908.31 		N:8
