########## REPORT GEN: 2 ##########
SPECIES: 
Filion         		Mean: 112.48 		Best: 668.34 		N:4
Guerin         		Mean: 66.38 		Best: 629.99 		N:7
Rector         		Mean: 64.39 		Best: 594.85 		N:7
Flens          		Mean: 99.37 		Best: 529.65 		N:4
Nelson         		Mean: 70.67 		Best: 524.34 		N:6
Jordan         		Mean: 72.74 		Best: 522.85 		N:6
Driver         		Mean: 82.25 		Best: 514.08 		N:5
Mcduffy        		Mean: 85.13 		Best: 487.2 		N:5
Hoyman         		Mean: 95.1 		Best: 468.16 		N:4
Chiarelli      		Mean: 77.2 		Best: 456.26 		N:5
Franca         		Mean: 211.42 		Best: 452.36 		N:2
Newberry       		Mean: 133.08 		Best: 435.55 		N:3
Weaver         		Mean: 80.93 		Best: 387.92 		N:4
Hendershot     		Mean: 162.87 		Best: 362.71 		N:2

########## REPORT GEN: 9 ##########
SPECIES: 
Guerin         		Mean: 55.66 		Best: 850.77 		N:8
Mcduffy        		Mean: 245.37 		Best: 710.72 		N:2
Blechman       		Mean: 103.91 		Best: 659.24 		N:5
Abdo           		Mean: 69.18 		Best: 649.79 		N:7
Franca         		Mean: 98.85 		Best: 627.84 		N:5
Driver         		Mean: 156.01 		Best: 604.99 		N:3
Rector         		Mean: 124.03 		Best: 573.04 		N:4
Weaver         		Mean: 58.05 		Best: 567.17 		N:7
Flens          		Mean: 130.12 		Best: 540.49 		N:3
Hendershot     		Mean: 60.23 		Best: 538.62 		N:7
Hoyman         		Mean: 146.61 		Best: 533.71 		N:3
Macias         		Mean: 142.75 		Best: 532.84 		N:3
Bailey         		Mean: 61.64 		Best: 527.36 		N:7
Filion         		Mean: 71.57 		Best: 517.46 		N:5
Newberry       		Mean: 106.82 		Best: 493.1 		N:4
Nelson         		Mean: 142.97 		Best: 450.63 		N:3

########## REPORT GEN: 10 ##########
SPECIES: 
Blechman       		Mean: 83.58 		Best: 756.74 		N:6
Filion         		Mean: 179.0 		Best: 657.93 		N:3
Macias         		Mean: 54.94 		Best: 603.6 		N:8
Driver         		Mean: 72.17 		Best: 599.63 		N:7
Bailey         		Mean: 115.55 		Best: 582.57 		N:4
Chiarelli      		Mean: 133.48 		Best: 582.28 		N:4
Abdo           		Mean: 248.92 		Best: 566.3 		N:2
Weaver         		Mean: 32.41 		Best: 550.09 		N:12
Guerin         		Mean: 257.14 		Best: 544.55 		N:2
Hendershot     		Mean: 144.06 		Best: 531.19 		N:3
Hoyman         		Mean: 90.18 		Best: 529.25 		N:5
Flens          		Mean: 104.49 		Best: 512.06 		N:4
Newberry       		Mean: 139.57 		Best: 503.11 		N:3
Rector         		Mean: 57.59 		Best: 501.22 		N:7
Nelson         		Mean: 45.98 		Best: 462.77 		N:8
Mcduffy        		Mean: 65.51 		Best: 411.27 		N:5
Franca         		Mean: 68.87 		Best: 374.44 		N:5

########## REPORT GEN: 11 ##########
SPECIES: 
Weaver         		Mean: 85.27 		Best: 766.4 		N:6
Driver         		Mean: 62.85 		Best: 757.42 		N:7
Blechman       		Mean: 96.33 		Best: 651.58 		N:5
Franca         		Mean: 82.23 		Best: 643.4 		N:6
Bailey         		Mean: 45.98 		Best: 592.14 		N:9
Abdo           		Mean: 61.6 		Best: 559.5 		N:7
Filion         		Mean: 60.42 		Best: 535.09 		N:7
Mcduffy        		Mean: 40.03 		Best: 526.51 		N:10
Guerin         		Mean: 49.85 		Best: 518.29 		N:8
Chiarelli      		Mean: 68.61 		Best: 513.35 		N:5
Hendershot     		Mean: 85.78 		Best: 507.43 		N:5
Macias         		Mean: 98.04 		Best: 479.99 		N:4
Flens          		Mean: 97.47 		Best: 463.54 		N:4
Nelson         		Mean: 75.4 		Best: 453.65 		N:5
Newberry       		Mean: 74.2 		Best: 436.47 		N:5
Rector         		Mean: 115.92 		Best: 364.95 		N:3

