########## REPORT GEN: 2 ##########
SPECIES: 
Hao            		Mean: 300.04 		Best: 900.11 		N:3

########## REPORT GEN: 10 ##########
SPECIES: 
Bradley        		Mean: 159.54 		Best: 952.7 		N:6
Burnham        		Mean: 80.77 		Best: 952.7 		N:12
Lastrapes      		Mean: 139.98 		Best: 952.7 		N:7
Guerrero       		Mean: 244.15 		Best: 952.59 		N:4
Oneal          		Mean: 316.4 		Best: 945.92 		N:3
Reid           		Mean: 137.77 		Best: 945.92 		N:7
Demond         		Mean: 121.43 		Best: 945.92 		N:8
Chavis         		Mean: 321.47 		Best: 945.92 		N:3
Fennimore      		Mean: 239.06 		Best: 945.92 		N:4
Deloy          		Mean: 316.54 		Best: 927.65 		N:3
Hao            		Mean: 462.78 		Best: 927.62 		N:2
Sullivan       		Mean: 466.38 		Best: 925.14 		N:2
Bruner         		Mean: 230.34 		Best: 902.2 		N:4
Elson          		Mean: 303.17 		Best: 900.13 		N:3

########## REPORT GEN: 11 ##########
SPECIES: 
Lastrapes      		Mean: 106.71 		Best: 952.7 		N:9
Brown          		Mean: 474.66 		Best: 952.7 		N:2
Hao            		Mean: 138.0 		Best: 952.59 		N:7
Bradley        		Mean: 320.92 		Best: 945.92 		N:3
Burnham        		Mean: 189.3 		Best: 945.92 		N:5
Oneal          		Mean: 158.08 		Best: 945.92 		N:6
Elson          		Mean: 313.32 		Best: 945.92 		N:3
Chavis         		Mean: 158.92 		Best: 933.44 		N:6
Wright         		Mean: 464.65 		Best: 927.72 		N:2
Deloy          		Mean: 474.65 		Best: 927.65 		N:2
House          		Mean: 236.31 		Best: 927.65 		N:4
Bruner         		Mean: 468.26 		Best: 927.65 		N:2
Fennimore      		Mean: 466.69 		Best: 927.62 		N:2
Sullivan       		Mean: 237.04 		Best: 923.52 		N:4
Reid           		Mean: 465.44 		Best: 923.3 		N:2
Demond         		Mean: 308.99 		Best: 900.06 		N:3

########## REPORT GEN: 12 ##########
SPECIES: 
Brown          		Mean: 188.93 		Best: 952.7 		N:5
Fennimore      		Mean: 320.84 		Best: 952.7 		N:3
Chavis         		Mean: 120.14 		Best: 952.59 		N:8
Lastrapes      		Mean: 232.09 		Best: 945.92 		N:4
Deloy          		Mean: 118.76 		Best: 945.92 		N:8
Bruner         		Mean: 120.7 		Best: 945.92 		N:8
Guerrero       		Mean: 236.61 		Best: 945.92 		N:4
Bradley        		Mean: 136.48 		Best: 933.44 		N:7
Wright         		Mean: 463.82 		Best: 927.65 		N:2
House          		Mean: 135.49 		Best: 927.72 		N:7
Elson          		Mean: 471.75 		Best: 924.92 		N:2
Hao            		Mean: 188.53 		Best: 923.3 		N:5
