########## REPORT GEN: 2 ##########
SPECIES: 
Nelson         		Mean: 154.86 		Best: 906.24 		N:6
Lantrip        		Mean: 231.02 		Best: 906.97 		N:4
Cureton        		Mean: 229.16 		Best: 905.42 		N:4
Cooke          		Mean: 455.28 		Best: 901.83 		N:2

########## REPORT GEN: 9 ##########
SPECIES: 
Mercer         		Mean: 104.43 		Best: 909.33 		N:9
Cho            		Mean: 308.86 		Best: 906.8 		N:3
Harrington     		Mean: 184.81 		Best: 909.33 		N:5
Blanchard      		Mean: 184.99 		Best: 905.65 		N:5
Taylor         		Mean: 308.56 		Best: 905.65 		N:3
Juel           		Mean: 154.76 		Best: 905.83 		N:6
Dubard         		Mean: 460.39 		Best: 905.65 		N:2
Preslipsky     		Mean: 154.94 		Best: 905.65 		N:6
Lantrip        		Mean: 309.18 		Best: 905.65 		N:3
Cureton        		Mean: 461.46 		Best: 905.65 		N:2
Casper         		Mean: 454.07 		Best: 905.42 		N:2
Grimes         		Mean: 459.18 		Best: 905.42 		N:2
Cooke          		Mean: 307.98 		Best: 905.65 		N:3
Nelson         		Mean: 306.04 		Best: 905.65 		N:3

########## REPORT GEN: 10 ##########
SPECIES: 
Harrington     		Mean: 116.03 		Best: 909.33 		N:8
Juel           		Mean: 232.71 		Best: 909.33 		N:4
Blanchard      		Mean: 232.36 		Best: 907.51 		N:4
Cooke          		Mean: 185.35 		Best: 906.8 		N:5
Bailey         		Mean: 303.21 		Best: 905.99 		N:3
Casper         		Mean: 460.53 		Best: 905.89 		N:2
Preslipsky     		Mean: 103.33 		Best: 907.51 		N:9
Cho            		Mean: 229.73 		Best: 906.16 		N:4
Taylor         		Mean: 308.69 		Best: 905.65 		N:3
Cureton        		Mean: 306.85 		Best: 905.65 		N:3
Grimes         		Mean: 185.25 		Best: 905.65 		N:5
Nelson         		Mean: 154.87 		Best: 905.65 		N:6
Mercer         		Mean: 459.28 		Best: 905.11 		N:2
Dubard         		Mean: 154.16 		Best: 905.25 		N:6

########## REPORT GEN: 11 ##########
SPECIES: 
Cooke          		Mean: 132.75 		Best: 909.33 		N:7
Casper         		Mean: 231.05 		Best: 909.33 		N:4
Lantrip        		Mean: 102.99 		Best: 906.8 		N:9
Dubard         		Mean: 154.48 		Best: 906.16 		N:6
Bailey         		Mean: 151.64 		Best: 905.99 		N:6
Mercer         		Mean: 132.55 		Best: 905.89 		N:7
Juel           		Mean: 185.05 		Best: 905.65 		N:5
Blanchard      		Mean: 458.99 		Best: 905.65 		N:2
Cureton        		Mean: 460.0 		Best: 905.65 		N:2
Nelson         		Mean: 154.37 		Best: 905.65 		N:6
Cho            		Mean: 453.45 		Best: 905.16 		N:2
Grimes         		Mean: 307.73 		Best: 905.12 		N:3
Preslipsky     		Mean: 306.99 		Best: 905.65 		N:3
