########## REPORT GEN: 2 ##########
SPECIES: 
Doyle          		Mean: 91.0 		Best: 905.28 		N:10
Wininger       		Mean: 151.18 		Best: 905.1 		N:6
Hill           		Mean: 53.16 		Best: 907.4 		N:17
Rodriguez      		Mean: 82.12 		Best: 906.89 		N:11
Labrum         		Mean: 112.79 		Best: 900.9 		N:8
Stahlberg      		Mean: 90.54 		Best: 900.9 		N:10
Curb           		Mean: 60.19 		Best: 905.83 		N:15

########## REPORT GEN: 11 ##########
SPECIES: 
Griffin        		Mean: 75.08 		Best: 907.06 		N:12
Wininger       		Mean: 100.56 		Best: 907.06 		N:9
Alfaro         		Mean: 82.41 		Best: 906.71 		N:11
Spence         		Mean: 112.98 		Best: 906.71 		N:8
Curb           		Mean: 180.48 		Best: 906.71 		N:5
Shaw           		Mean: 60.16 		Best: 907.4 		N:15
Doyle          		Mean: 75.56 		Best: 905.1 		N:12
Hill           		Mean: 90.72 		Best: 907.4 		N:10
Labrum         		Mean: 90.49 		Best: 906.75 		N:10
Cloutier       		Mean: 129.16 		Best: 904.36 		N:7
Rodriguez      		Mean: 179.62 		Best: 901.99 		N:5
Stahlberg      		Mean: 81.83 		Best: 906.89 		N:11

########## REPORT GEN: 12 ##########
SPECIES: 
Alfaro         		Mean: 89.91 		Best: 907.4 		N:10
Cloutier       		Mean: 129.84 		Best: 907.06 		N:7
Stahlberg      		Mean: 179.98 		Best: 907.06 		N:5
Curb           		Mean: 82.15 		Best: 906.71 		N:11
Doyle          		Mean: 56.26 		Best: 906.71 		N:16
Wininger       		Mean: 75.43 		Best: 906.75 		N:12
Spence         		Mean: 69.86 		Best: 905.1 		N:13
Shaw           		Mean: 113.42 		Best: 905.1 		N:8
Rodriguez      		Mean: 69.15 		Best: 905.1 		N:13
Labrum         		Mean: 225.59 		Best: 904.85 		N:4
Griffin        		Mean: 64.17 		Best: 899.97 		N:14
Hill           		Mean: 112.2 		Best: 899.97 		N:8

########## REPORT GEN: 13 ##########
SPECIES: 
Alfaro         		Mean: 112.9 		Best: 907.4 		N:8
Hill           		Mean: 90.14 		Best: 907.06 		N:10
Doyle          		Mean: 100.27 		Best: 906.89 		N:9
Griffin        		Mean: 90.27 		Best: 906.84 		N:10
Curb           		Mean: 100.41 		Best: 906.75 		N:9
Cloutier       		Mean: 75.45 		Best: 906.71 		N:12
Spence         		Mean: 129.62 		Best: 906.71 		N:7
Shaw           		Mean: 100.31 		Best: 905.1 		N:9
Labrum         		Mean: 82.05 		Best: 905.1 		N:11
Rodriguez      		Mean: 81.94 		Best: 906.29 		N:11
Wininger       		Mean: 112.29 		Best: 903.33 		N:8
Stahlberg      		Mean: 68.81 		Best: 897.57 		N:13

########## REPORT GEN: 14 ##########
SPECIES: 
Cloutier       		Mean: 81.58 		Best: 907.4 		N:11
Wininger       		Mean: 81.95 		Best: 907.06 		N:11
Alfaro         		Mean: 75.01 		Best: 906.89 		N:12
Curb           		Mean: 128.32 		Best: 906.75 		N:7
Doyle          		Mean: 82.08 		Best: 907.06 		N:11
Shaw           		Mean: 56.33 		Best: 906.71 		N:16
Griffin        		Mean: 60.01 		Best: 906.89 		N:15
Labrum         		Mean: 64.69 		Best: 908.69 		N:14
Rodriguez      		Mean: 69.62 		Best: 906.82 		N:13
Stahlberg      		Mean: 64.32 		Best: 906.29 		N:14
Hill           		Mean: 99.77 		Best: 900.78 		N:9
Spence         		Mean: 99.39 		Best: 899.97 		N:9

########## REPORT GEN: 15 ##########
SPECIES: 
Shaw           		Mean: 69.51 		Best: 907.06 		N:13
Labrum         		Mean: 128.79 		Best: 906.89 		N:7
Hill           		Mean: 52.89 		Best: 906.89 		N:17
Cloutier       		Mean: 69.32 		Best: 907.4 		N:13
Alfaro         		Mean: 81.68 		Best: 906.71 		N:11
Curb           		Mean: 112.1 		Best: 905.46 		N:8
Wininger       		Mean: 100.73 		Best: 907.4 		N:9
Doyle          		Mean: 59.98 		Best: 906.75 		N:15
Rodriguez      		Mean: 69.5 		Best: 906.64 		N:13
Stahlberg      		Mean: 81.55 		Best: 904.31 		N:11
Griffin        		Mean: 99.61 		Best: 904.27 		N:9
Spence         		Mean: 68.56 		Best: 889.64 		N:13

########## REPORT GEN: 16 ##########
SPECIES: 
Alfaro         		Mean: 69.1 		Best: 907.06 		N:13
Shaw           		Mean: 81.9 		Best: 906.89 		N:11
Wininger       		Mean: 81.7 		Best: 906.71 		N:11
Doyle          		Mean: 69.24 		Best: 906.75 		N:13
Stahlberg      		Mean: 64.59 		Best: 906.89 		N:14
Labrum         		Mean: 59.85 		Best: 905.76 		N:15
Rodriguez      		Mean: 149.27 		Best: 905.46 		N:6
Hill           		Mean: 56.15 		Best: 907.4 		N:16
Curb           		Mean: 50.0 		Best: 905.1 		N:18
Griffin        		Mean: 113.26 		Best: 907.4 		N:8
Spence         		Mean: 128.16 		Best: 905.1 		N:7
Cloutier       		Mean: 89.82 		Best: 901.23 		N:10

########## REPORT GEN: 17 ##########
SPECIES: 
Stahlberg      		Mean: 64.65 		Best: 907.06 		N:14
Doyle          		Mean: 100.17 		Best: 906.77 		N:9
Curb           		Mean: 100.11 		Best: 906.75 		N:9
Alfaro         		Mean: 82.82 		Best: 907.4 		N:11
Hill           		Mean: 100.17 		Best: 906.72 		N:9
Shaw           		Mean: 69.06 		Best: 905.94 		N:13
Griffin        		Mean: 111.97 		Best: 905.7 		N:8
Labrum         		Mean: 74.71 		Best: 906.75 		N:12
