########## REPORT GEN: 2 ##########
SPECIES: 
Frazier        		Mean: 454.07 		Best: 900.64 		N:2
Daughtry       		Mean: 229.83 		Best: 900.67 		N:4
Swiger         		Mean: 305.11 		Best: 900.67 		N:3
Robinson       		Mean: 83.69 		Best: 905.25 		N:11
Labossiere     		Mean: 304.34 		Best: 902.77 		N:3
Bartsch        		Mean: 459.51 		Best: 900.62 		N:2
Dunaway        		Mean: 305.36 		Best: 900.64 		N:3
Schaffner      		Mean: 455.58 		Best: 900.6 		N:2
Myers          		Mean: 304.67 		Best: 900.6 		N:3

########## REPORT GEN: 10 ##########
SPECIES: 
Moody          		Mean: 304.92 		Best: 902.77 		N:3
Labossiere     		Mean: 456.27 		Best: 902.77 		N:2
Frazier        		Mean: 115.16 		Best: 902.76 		N:8
Curl           		Mean: 183.2 		Best: 900.69 		N:5
Robinson       		Mean: 152.94 		Best: 902.77 		N:6
Daughtry       		Mean: 227.22 		Best: 900.64 		N:4
Swiger         		Mean: 92.06 		Best: 900.67 		N:10
Bartsch        		Mean: 228.87 		Best: 900.64 		N:4
Dunaway        		Mean: 183.96 		Best: 900.64 		N:5
Goto           		Mean: 114.92 		Best: 900.67 		N:8
Horton         		Mean: 183.16 		Best: 900.64 		N:5
Schaffner      		Mean: 305.39 		Best: 900.64 		N:3
Myers          		Mean: 304.3 		Best: 900.61 		N:3
Shanklin       		Mean: 152.2 		Best: 902.77 		N:6

########## REPORT GEN: 11 ##########
SPECIES: 
Labossiere     		Mean: 184.3 		Best: 924.3 		N:5
Horton         		Mean: 229.41 		Best: 902.76 		N:4
Schaffner      		Mean: 228.56 		Best: 900.69 		N:4
Davis          		Mean: 228.99 		Best: 900.69 		N:4
Bartsch        		Mean: 91.88 		Best: 900.67 		N:10
Shanklin       		Mean: 114.85 		Best: 902.77 		N:8
Moody          		Mean: 227.72 		Best: 900.61 		N:4
Frazier        		Mean: 183.42 		Best: 902.77 		N:5
Daughtry       		Mean: 303.38 		Best: 900.61 		N:3
Dunaway        		Mean: 152.57 		Best: 900.64 		N:6
Curl           		Mean: 183.56 		Best: 900.64 		N:5
Swiger         		Mean: 455.0 		Best: 900.6 		N:2
Myers          		Mean: 303.85 		Best: 900.6 		N:3

########## REPORT GEN: 12 ##########
SPECIES: 
