########## REPORT GEN: 2 ##########
SPECIES: 
Manuel         		Mean: 181.19 		Best: 609.67 		N:3
Olson          		Mean: 78.33 		Best: 579.68 		N:7
Strawn         		Mean: 95.56 		Best: 470.65 		N:5
Gillespie      		Mean: 191.26 		Best: 383.29 		N:2

########## REPORT GEN: 9 ##########
SPECIES: 
Thompson       		Mean: 94.03 		Best: 1122.38 		N:11
Rockwell       		Mean: 92.5 		Best: 1081.95 		N:8
Williams       		Mean: 186.06 		Best: 1029.17 		N:4
Rincon         		Mean: 105.62 		Best: 971.62 		N:7
Burmeister     		Mean: 201.27 		Best: 784.72 		N:4
Korando        		Mean: 362.75 		Best: 781.54 		N:2
Brown          		Mean: 223.81 		Best: 780.96 		N:3
Bradley        		Mean: 178.14 		Best: 781.09 		N:4
Valliere       		Mean: 127.88 		Best: 769.12 		N:6
Gallo          		Mean: 101.06 		Best: 756.21 		N:7
Call           		Mean: 258.67 		Best: 751.31 		N:3
Jessup         		Mean: 69.79 		Best: 690.54 		N:7
Jones          		Mean: 92.12 		Best: 632.84 		N:6
Gillespie      		Mean: 84.92 		Best: 608.72 		N:6
Manuel         		Mean: 119.77 		Best: 596.02 		N:4
Olson          		Mean: 188.61 		Best: 580.26 		N:3
Strawn         		Mean: 119.37 		Best: 469.74 		N:4

########## REPORT GEN: 10 ##########
SPECIES: 
Rockwell       		Mean: 107.02 		Best: 1112.02 		N:6
Gillespie      		Mean: 61.0 		Best: 1105.38 		N:10
Williams       		Mean: 92.85 		Best: 1071.27 		N:8
Rincon         		Mean: 200.47 		Best: 962.13 		N:4
Valliere       		Mean: 109.78 		Best: 819.7 		N:7
Bradley        		Mean: 153.69 		Best: 783.68 		N:5
Burmeister     		Mean: 159.13 		Best: 782.23 		N:5
Smith          		Mean: 103.58 		Best: 781.11 		N:6
Jessup         		Mean: 88.53 		Best: 780.13 		N:7
Wells          		Mean: 380.84 		Best: 755.81 		N:2
Gallo          		Mean: 176.63 		Best: 756.72 		N:4
George         		Mean: 124.71 		Best: 750.91 		N:5
Thompson       		Mean: 367.5 		Best: 736.27 		N:2
Olson          		Mean: 92.72 		Best: 726.54 		N:6
Polk           		Mean: 347.82 		Best: 693.72 		N:2
Jones          		Mean: 107.39 		Best: 633.1 		N:5
Brown          		Mean: 293.9 		Best: 629.14 		N:2
Korando        		Mean: 123.84 		Best: 627.27 		N:4
Strawn         		Mean: 78.2 		Best: 470.72 		N:6
Manuel         		Mean: 138.66 		Best: 465.65 		N:3

########## REPORT GEN: 11 ##########
SPECIES: 
Gillespie      		Mean: 320.92 		Best: 1124.72 		N:3
George         		Mean: 134.01 		Best: 1115.7 		N:6
Manuel         		Mean: 151.03 		Best: 1111.77 		N:5
Williams       		Mean: 173.03 		Best: 1032.54 		N:4
Burmeister     		Mean: 115.08 		Best: 964.71 		N:6
Gallo          		Mean: 52.41 		Best: 923.1 		N:12
Miller         		Mean: 86.45 		Best: 819.03 		N:8
Brown          		Mean: 366.71 		Best: 801.35 		N:2
Jones          		Mean: 161.44 		Best: 783.38 		N:4
Jessup         		Mean: 393.91 		Best: 781.18 		N:2
Rincon         		Mean: 182.51 		Best: 780.94 		N:3
Korando        		Mean: 98.08 		Best: 781.41 		N:7
Smith          		Mean: 252.46 		Best: 781.6 		N:3
Polk           		Mean: 251.09 		Best: 773.61 		N:3
Bradley        		Mean: 111.55 		Best: 752.92 		N:5
Thompson       		Mean: 102.01 		Best: 752.0 		N:6
Rockwell       		Mean: 236.29 		Best: 751.56 		N:3
Olson          		Mean: 236.85 		Best: 727.22 		N:3
Strawn         		Mean: 220.64 		Best: 470.6 		N:2

########## REPORT GEN: 12 ##########
SPECIES: 
Gillespie      		Mean: 103.29 		Best: 1121.29 		N:7
Valliere       		Mean: 157.03 		Best: 1116.93 		N:6
Miller         		Mean: 96.09 		Best: 1107.33 		N:8
Burmeister     		Mean: 137.81 		Best: 1082.23 		N:5
Bradley        		Mean: 122.05 		Best: 1076.68 		N:7
Williams       		Mean: 264.24 		Best: 1011.33 		N:3
Wells          		Mean: 89.57 		Best: 819.68 		N:8
Jessup         		Mean: 111.46 		Best: 781.7 		N:6
Thompson       		Mean: 103.24 		Best: 781.49 		N:7
Korando        		Mean: 99.43 		Best: 780.93 		N:6
Gallo          		Mean: 124.42 		Best: 780.2 		N:5
George         		Mean: 249.91 		Best: 775.77 		N:3
Rincon         		Mean: 81.42 		Best: 781.31 		N:8
Strawn         		Mean: 135.2 		Best: 752.29 		N:5
Rockwell       		Mean: 349.94 		Best: 742.4 		N:2
Manuel         		Mean: 317.97 		Best: 656.77 		N:2

########## REPORT GEN: 13 ##########
SPECIES: 
Rockwell       		Mean: 216.72 		Best: 1121.62 		N:4
Jones          		Mean: 109.81 		Best: 1108.04 		N:7
Jessup         		Mean: 148.36 		Best: 1096.4 		N:5
Miller         		Mean: 164.35 		Best: 1090.35 		N:4
Gallo          		Mean: 135.74 		Best: 1083.2 		N:5
Strawn         		Mean: 324.93 		Best: 1081.0 		N:3
Thompson       		Mean: 430.08 		Best: 1067.67 		N:2
Manuel         		Mean: 170.28 		Best: 1012.07 		N:4
Wells          		Mean: 191.59 		Best: 998.18 		N:4
Korando        		Mean: 239.08 		Best: 918.46 		N:3
Rincon         		Mean: 95.22 		Best: 818.81 		N:7
Williams       		Mean: 223.19 		Best: 782.13 		N:3
George         		Mean: 377.43 		Best: 780.87 		N:2
Smith          		Mean: 231.67 		Best: 777.1 		N:3
Burmeister     		Mean: 208.86 		Best: 773.71 		N:3
Bradley        		Mean: 100.64 		Best: 755.68 		N:6
Valliere       		Mean: 181.71 		Best: 627.27 		N:3

########## REPORT GEN: 14 ##########
SPECIES: 
Burmeister     		Mean: 115.1 		Best: 1218.27 		N:7
Gallo          		Mean: 143.79 		Best: 1120.09 		N:6
Rincon         		Mean: 296.9 		Best: 1118.13 		N:3
Smith          		Mean: 167.4 		Best: 1095.23 		N:5
Strawn         		Mean: 87.68 		Best: 1078.13 		N:8
Rockwell       		Mean: 148.6 		Best: 1006.15 		N:5
Thompson       		Mean: 125.47 		Best: 999.99 		N:6
Manuel         		Mean: 110.76 		Best: 919.45 		N:6
Jessup         		Mean: 170.48 		Best: 918.17 		N:4
Korando        		Mean: 139.94 		Best: 818.63 		N:5
Valliere       		Mean: 133.1 		Best: 802.74 		N:5
Jones          		Mean: 165.19 		Best: 793.4 		N:4
Bradley        		Mean: 211.46 		Best: 774.94 		N:3
Williams       		Mean: 201.26 		Best: 773.43 		N:3
George         		Mean: 84.07 		Best: 773.18 		N:7
Brown          		Mean: 224.24 		Best: 729.1 		N:3
Miller         		Mean: 121.99 		Best: 694.76 		N:5
Wells          		Mean: 184.26 		Best: 657.58 		N:3

########## REPORT GEN: 15 ##########
SPECIES: 
Valliere       		Mean: 124.0 		Best: 1121.36 		N:6
Rincon         		Mean: 121.51 		Best: 1118.71 		N:6
Wells          		Mean: 82.26 		Best: 1117.87 		N:8
Gallo          		Mean: 93.14 		Best: 1114.65 		N:8
Brown          		Mean: 49.64 		Best: 1090.97 		N:13
Bradley        		Mean: 85.34 		Best: 1081.96 		N:9
Korando        		Mean: 107.93 		Best: 998.48 		N:6
Manuel         		Mean: 71.79 		Best: 919.57 		N:10
George         		Mean: 118.25 		Best: 917.51 		N:6
Smith          		Mean: 155.06 		Best: 840.41 		N:5
Strawn         		Mean: 129.21 		Best: 818.79 		N:5
Williams       		Mean: 125.0 		Best: 794.52 		N:5
Jessup         		Mean: 166.42 		Best: 782.1 		N:4
Rockwell       		Mean: 90.32 		Best: 780.8 		N:7
Jones          		Mean: 193.56 		Best: 773.21 		N:3
Thompson       		Mean: 90.19 		Best: 762.9 		N:7
Burmeister     		Mean: 149.81 		Best: 740.99 		N:4
Miller         		Mean: 235.04 		Best: 681.37 		N:2

########## REPORT GEN: 16 ##########
SPECIES: 
Miller         		Mean: 94.94 		Best: 1121.71 		N:8
