########## REPORT GEN: 2 ##########
SPECIES: 
Maciel         		Mean: 131.9 		Best: 903.39 		N:7
Ernest         		Mean: 229.51 		Best: 902.76 		N:4
Eddings        		Mean: 305.36 		Best: 902.76 		N:3
Wyatt          		Mean: 182.74 		Best: 900.69 		N:5
Whittingham    		Mean: 153.6 		Best: 900.82 		N:6
Necaise        		Mean: 456.53 		Best: 900.61 		N:2
Reid           		Mean: 226.03 		Best: 900.42 		N:4
Garza          		Mean: 229.04 		Best: 900.64 		N:4

########## REPORT GEN: 11 ##########
SPECIES: 
Freeney        		Mean: 307.0 		Best: 908.17 		N:3
Maciel         		Mean: 131.51 		Best: 908.17 		N:7
Reid           		Mean: 115.59 		Best: 908.17 		N:8
Eddings        		Mean: 102.0 		Best: 903.39 		N:9
Walker         		Mean: 183.58 		Best: 901.56 		N:5
Garza          		Mean: 114.64 		Best: 901.2 		N:8
Whittingham    		Mean: 91.7 		Best: 900.67 		N:10
Smith          		Mean: 305.5 		Best: 900.69 		N:3
Ernest         		Mean: 228.84 		Best: 900.61 		N:4
Wyatt          		Mean: 458.13 		Best: 900.42 		N:2
Necaise        		Mean: 102.73 		Best: 902.76 		N:9
Duncan         		Mean: 129.78 		Best: 900.54 		N:7

########## REPORT GEN: 12 ##########
SPECIES: 
Ernest         		Mean: 230.69 		Best: 908.17 		N:4
Duncan         		Mean: 130.51 		Best: 903.39 		N:7
Necaise        		Mean: 131.57 		Best: 901.56 		N:7
Whittingham    		Mean: 152.62 		Best: 901.2 		N:6
Reid           		Mean: 303.52 		Best: 900.61 		N:3
Walker         		Mean: 182.89 		Best: 900.61 		N:5
Smith          		Mean: 114.14 		Best: 900.61 		N:8
Maciel         		Mean: 184.08 		Best: 901.2 		N:5
Garza          		Mean: 101.91 		Best: 900.61 		N:9
Freeney        		Mean: 183.28 		Best: 900.61 		N:5
Eddings        		Mean: 184.27 		Best: 908.17 		N:5

########## REPORT GEN: 13 ##########
SPECIES: 
Reid           		Mean: 153.27 		Best: 908.17 		N:6
Smith          		Mean: 152.53 		Best: 908.17 		N:6
Whittingham    		Mean: 113.99 		Best: 901.56 		N:8
Maciel         		Mean: 228.76 		Best: 900.91 		N:4
Duncan         		Mean: 101.99 		Best: 901.03 		N:9
Freeney        		Mean: 183.1 		Best: 900.54 		N:5
Eddings        		Mean: 153.37 		Best: 903.39 		N:6
Necaise        		Mean: 302.47 		Best: 900.38 		N:3
Ernest         		Mean: 182.6 		Best: 900.42 		N:5
