########## REPORT GEN: 2 ##########
SPECIES: 
Cassidy        		Mean: 155.12 		Best: 906.61 		N:6

########## REPORT GEN: 10 ##########
SPECIES: 
Roach          		Mean: 154.89 		Best: 915.87 		N:6
Berrios        		Mean: 77.43 		Best: 915.87 		N:12
Rehkop         		Mean: 310.34 		Best: 915.87 		N:3
Saavedra       		Mean: 232.34 		Best: 910.18 		N:4
Maisonet       		Mean: 132.19 		Best: 909.33 		N:7
Hess           		Mean: 460.14 		Best: 906.61 		N:2
Cassidy        		Mean: 116.21 		Best: 905.65 		N:8
Heminger       		Mean: 459.97 		Best: 905.26 		N:2
Chang          		Mean: 303.7 		Best: 902.82 		N:3
Bell           		Mean: 231.03 		Best: 902.82 		N:4
Felipe         		Mean: 453.25 		Best: 902.4 		N:2
Livezey        		Mean: 306.88 		Best: 906.16 		N:3
White          		Mean: 305.88 		Best: 902.33 		N:3

########## REPORT GEN: 11 ##########
SPECIES: 
Berrios        		Mean: 116.21 		Best: 915.87 		N:8
Rehkop         		Mean: 231.06 		Best: 915.87 		N:4
Saavedra       		Mean: 132.67 		Best: 915.87 		N:7
Cassidy        		Mean: 230.53 		Best: 915.87 		N:4
Livezey        		Mean: 185.27 		Best: 909.33 		N:5
White          		Mean: 460.19 		Best: 909.33 		N:2
Felipe         		Mean: 185.29 		Best: 906.61 		N:5
Heminger       		Mean: 131.0 		Best: 905.65 		N:7
Bell           		Mean: 307.88 		Best: 905.65 		N:3
Hess           		Mean: 230.11 		Best: 902.82 		N:4
Roach          		Mean: 229.57 		Best: 903.26 		N:4
Chang          		Mean: 305.27 		Best: 901.55 		N:3
Maisonet       		Mean: 229.66 		Best: 902.4 		N:4
Ross           		Mean: 229.88 		Best: 902.4 		N:4

########## REPORT GEN: 12 ##########
SPECIES: 
Berrios        		Mean: 154.65 		Best: 915.87 		N:6
Rehkop         		Mean: 185.34 		Best: 915.87 		N:5
White          		Mean: 132.15 		Best: 915.87 		N:7
Roach          		Mean: 132.44 		Best: 915.87 		N:7
Felipe         		Mean: 231.12 		Best: 909.33 		N:4
Ross           		Mean: 154.25 		Best: 909.33 		N:6
Saavedra       		Mean: 154.02 		Best: 906.61 		N:6
Chang          		Mean: 184.91 		Best: 905.65 		N:5
Hess           		Mean: 183.73 		Best: 902.82 		N:5
Livezey        		Mean: 131.85 		Best: 902.4 		N:7
Cassidy        		Mean: 131.4 		Best: 901.55 		N:7
Heminger       		Mean: 131.17 		Best: 902.4 		N:7
Bell           		Mean: 305.16 		Best: 902.4 		N:3
Maisonet       		Mean: 183.24 		Best: 902.33 		N:5

########## REPORT GEN: 13 ##########
SPECIES: 
Berrios        		Mean: 102.95 		Best: 915.87 		N:9
Ross           		Mean: 231.53 		Best: 915.87 		N:4
Hess           		Mean: 116.24 		Best: 915.87 		N:8
Rehkop         		Mean: 153.99 		Best: 909.33 		N:6
Heminger       		Mean: 184.62 		Best: 909.33 		N:5
Chang          		Mean: 115.31 		Best: 906.61 		N:8
Livezey        		Mean: 130.71 		Best: 906.61 		N:7
Saavedra       		Mean: 230.62 		Best: 905.65 		N:4
Maisonet       		Mean: 102.3 		Best: 905.65 		N:9
White          		Mean: 153.28 		Best: 902.82 		N:6
Felipe         		Mean: 304.74 		Best: 902.4 		N:3
Bell           		Mean: 153.1 		Best: 902.26 		N:6
Cassidy        		Mean: 183.67 		Best: 901.46 		N:5
Roach          		Mean: 183.28 		Best: 902.18 		N:5

########## REPORT GEN: 14 ##########
SPECIES: 
Ross           		Mean: 229.47 		Best: 915.87 		N:4
Cassidy        		Mean: 102.54 		Best: 915.87 		N:9
Rehkop         		Mean: 230.63 		Best: 909.33 		N:4
Chang          		Mean: 76.5 		Best: 909.33 		N:12
Felipe         		Mean: 115.31 		Best: 909.33 		N:8
Hess           		Mean: 101.95 		Best: 906.61 		N:9
Roach          		Mean: 306.51 		Best: 906.61 		N:3
Heminger       		Mean: 229.56 		Best: 905.65 		N:4
Saavedra       		Mean: 131.1 		Best: 905.65 		N:7
Livezey        		Mean: 130.95 		Best: 902.4 		N:7
White          		Mean: 229.49 		Best: 902.4 		N:4
Berrios        		Mean: 131.28 		Best: 901.46 		N:7
Maisonet       		Mean: 456.69 		Best: 901.15 		N:2
Bell           		Mean: 455.87 		Best: 901.15 		N:2

########## REPORT GEN: 15 ##########
SPECIES: 
Cassidy        		Mean: 183.98 		Best: 915.87 		N:5
Roach          		Mean: 92.51 		Best: 915.87 		N:10
Berrios        		Mean: 183.81 		Best: 915.87 		N:5
Heminger       		Mean: 153.35 		Best: 909.33 		N:6
White          		Mean: 183.82 		Best: 909.33 		N:5
