########## REPORT GEN: 2 ##########
SPECIES: 
SPECIES: 
Battle         		Mean: 0.98 		Best: 9.6 		Nº:8
Wilson         		Mean: 1.43 		Best: 9.6 		Nº:6
May            		Mean: 0.85 		Best: 9.6 		Nº:10
Lodge          		Mean: 0.55 		Best: 9.6 		Nº:8
Dean           		Mean: 0.59 		Best: 9.6 		Nº:10
Gonzales       		Mean: 0.43 		Best: 9.6 		Nº:12
Page           		Mean: 1.63 		Best: 9.6 		Nº:4
Larimore       		Mean: 0.94 		Best: 9.6 		Nº:7
Nott           		Mean: 1.33 		Best: 8.71 		Nº:5
Hadlock        		Mean: 1.67 		Best: 8.71 		Nº:5
Freeland       		Mean: 0.9  		Best: 8.71 		Nº:6
Lenk           		Mean: 0.46 		Best: 8.71 		Nº:6
Weaver         		Mean: 0.97 		Best: 8.71 		Nº:3
Moreno         		Mean: 0.22 		Best: 7.77 		Nº:6
Houston        		Mean: 0.22 		Best: 7.77 		Nº:6
Stevens        		Mean: 0.0  		Best: 0.0 		Nº:4
Jones          		Mean: 0.0  		Best: 0.0 		Nº:2

########## REPORT GEN: 9 ##########
SPECIES: 
Battle         		Mean: 0.52 		Best: 9.6 		Nº:11
Wilson         		Mean: 0.62 		Best: 9.6 		Nº:12
May            		Mean: 0.92 		Best: 9.6 		Nº:9
Dean           		Mean: 1.02 		Best: 9.6 		Nº:6
Gonzales       		Mean: 1.29 		Best: 9.6 		Nº:6
Page           		Mean: 0.79 		Best: 9.6 		Nº:8
Larimore       		Mean: 0.5  		Best: 9.6 		Nº:10
Nott           		Mean: 0.68 		Best: 9.6 		Nº:10
Hadlock        		Mean: 0.72 		Best: 9.6 		Nº:10
Freeland       		Mean: 0.63 		Best: 9.6 		Nº:10
Lenk           		Mean: 1.43 		Best: 9.6 		Nº:5
Weaver         		Mean: 0.54 		Best: 9.6 		Nº:6
Moreno         		Mean: 1.15 		Best: 9.6 		Nº:4
Stevens        		Mean: 2.42 		Best: 9.6 		Nº:2
Houston        		Mean: 0.87 		Best: 7.77 		Nº:3
Lodge          		Mean: 0.0  		Best: 0.0 		Nº:6

########## REPORT GEN: 10 ##########
SPECIES: 
Battle         		Mean: 0.7  		Best: 9.6 		Nº:5
Wilson         		Mean: 1.04 		Best: 9.6 		Nº:6
May            		Mean: 0.97 		Best: 9.6 		Nº:6
Dean           		Mean: 1.31 		Best: 9.6 		Nº:6
Page           		Mean: 0.7  		Best: 9.6 		Nº:5
Larimore       		Mean: 0.73 		Best: 9.6 		Nº:5
Nott           		Mean: 1.09 		Best: 9.6 		Nº:5
