########## REPORT GEN: 2 ##########
SPECIES: 
Renz           		Mean: 306.07 		Best: 903.39 		N:3
Smith          		Mean: 228.55 		Best: 900.71 		N:4
Tilson         		Mean: 457.38 		Best: 900.67 		N:2
Brown          		Mean: 130.97 		Best: 900.79 		N:7
Schulman       		Mean: 456.96 		Best: 900.67 		N:2
Marshall       		Mean: 92.21 		Best: 900.71 		N:10
Miller         		Mean: 184.61 		Best: 900.67 		N:5
Umberger       		Mean: 183.64 		Best: 900.61 		N:5
Lacroix        		Mean: 454.1 		Best: 900.61 		N:2
Boggs          		Mean: 229.85 		Best: 900.61 		N:4
Hibner         		Mean: 182.57 		Best: 903.39 		N:5

########## REPORT GEN: 10 ##########
SPECIES: 
Smith          		Mean: 153.45 		Best: 904.83 		N:6
Lewis          		Mean: 183.85 		Best: 903.39 		N:5
Clark          		Mean: 304.59 		Best: 903.39 		N:3
Tilson         		Mean: 228.29 		Best: 902.76 		N:4
Boggs          		Mean: 305.34 		Best: 900.88 		N:3
Lacroix        		Mean: 227.69 		Best: 900.67 		N:4
Yeatts         		Mean: 228.18 		Best: 903.39 		N:4
Schulman       		Mean: 304.43 		Best: 900.61 		N:3
Marshall       		Mean: 153.46 		Best: 900.71 		N:6
Miller         		Mean: 304.66 		Best: 900.64 		N:3
Phipps         		Mean: 454.86 		Best: 900.61 		N:2

########## REPORT GEN: 11 ##########
SPECIES: 
Boggs          		Mean: 457.71 		Best: 904.83 		N:2
Lacroix        		Mean: 303.98 		Best: 902.76 		N:3
Phipps         		Mean: 304.77 		Best: 902.76 		N:3
Yeatts         		Mean: 102.09 		Best: 903.39 		N:9
Miller         		Mean: 184.5 		Best: 900.71 		N:5
Smith          		Mean: 304.75 		Best: 900.61 		N:3
Tilson         		Mean: 183.36 		Best: 900.61 		N:5
Schulman       		Mean: 226.96 		Best: 900.64 		N:4
Brown          		Mean: 153.0 		Best: 903.39 		N:6

########## REPORT GEN: 12 ##########
SPECIES: 
Lacroix        		Mean: 183.63 		Best: 904.83 		N:5
Clark          		Mean: 228.49 		Best: 904.83 		N:4
Boggs          		Mean: 305.4 		Best: 902.76 		N:3
Brown          		Mean: 304.2 		Best: 902.76 		N:3
Tilson         		Mean: 455.39 		Best: 900.88 		N:2
Marshall       		Mean: 304.45 		Best: 900.67 		N:3
Schulman       		Mean: 183.44 		Best: 900.67 		N:5
Phipps         		Mean: 304.12 		Best: 900.61 		N:3
Yeatts         		Mean: 454.23 		Best: 900.61 		N:2
Smith          		Mean: 455.45 		Best: 900.61 		N:2
Lewis          		Mean: 303.35 		Best: 900.61 		N:3
Umberger       		Mean: 303.85 		Best: 900.88 		N:3

########## REPORT GEN: 13 ##########
SPECIES: 
Phipps         		Mean: 227.64 		Best: 904.83 		N:4
Yeatts         		Mean: 153.37 		Best: 904.83 		N:6
Lewis          		Mean: 228.6 		Best: 904.83 		N:4
Boggs          		Mean: 304.68 		Best: 902.76 		N:3
Marshall       		Mean: 229.55 		Best: 900.88 		N:4
