########## REPORT GEN: 2 ##########
SPECIES: 
SPECIES: 
Loiacono       		Mean: 70.7 		Best: 941.4 		N:13
Kuo            		Mean: 83.85 		Best: 941.4 		N:11
Marsh          		Mean: 101.76 		Best: 941.4 		N:9
Whitaker       		Mean: 134.72 		Best: 941.4 		N:7
Olson          		Mean: 230.99 		Best: 938.56 		N:4
Thomas         		Mean: 65.6 		Best: 923.31 		N:14
Lawrence       		Mean: 83.14 		Best: 923.11 		N:11
Snyder         		Mean: 114.91 		Best: 918.08 		N:8
Lodge          		Mean: 227.14 		Best: 912.47 		N:4
Loynes         		Mean: 91.62 		Best: 912.47 		N:10

########## REPORT GEN: 14 ##########
SPECIES: 
Loiacono       		Mean: 83.2 		Best: 941.4 		N:11
Snyder         		Mean: 114.77 		Best: 941.4 		N:8
Thomas         		Mean: 309.94 		Best: 940.78 		N:3
Whitaker       		Mean: 228.75 		Best: 938.56 		N:4
Olson          		Mean: 70.49 		Best: 938.56 		N:13
Lodge          		Mean: 76.39 		Best: 938.56 		N:12
Loynes         		Mean: 117.99 		Best: 941.4 		N:8
Marsh          		Mean: 131.65 		Best: 923.31 		N:7
Kuo            		Mean: 113.75 		Best: 915.41 		N:8
Lawrence       		Mean: 226.91 		Best: 905.84 		N:4

########## REPORT GEN: 15 ##########
SPECIES: 
Whitaker       		Mean: 152.58 		Best: 944.1 		N:6
Loiacono       		Mean: 93.57 		Best: 941.4 		N:10
Lodge          		Mean: 115.85 		Best: 941.4 		N:8
Kuo            		Mean: 155.66 		Best: 941.4 		N:6
Snyder         		Mean: 91.96 		Best: 938.56 		N:10
Thomas         		Mean: 114.23 		Best: 938.56 		N:8
Loynes         		Mean: 129.97 		Best: 938.56 		N:7
Marsh          		Mean: 315.44 		Best: 938.56 		N:3
Olson          		Mean: 232.02 		Best: 923.11 		N:4
Lawrence       		Mean: 100.82 		Best: 918.08 		N:9

########## REPORT GEN: 16 ##########
SPECIES: 
Kuo            		Mean: 309.47 		Best: 944.1 		N:3
Whitaker       		Mean: 184.29 		Best: 941.4 		N:5
Lodge          		Mean: 77.44 		Best: 941.4 		N:12
Thomas         		Mean: 183.71 		Best: 938.56 		N:5
Lawrence       		Mean: 187.58 		Best: 938.56 		N:5
Loynes         		Mean: 115.92 		Best: 937.61 		N:8
Marsh          		Mean: 92.68 		Best: 936.05 		N:10
Snyder         		Mean: 130.43 		Best: 918.08 		N:7
Loiacono       		Mean: 91.04 		Best: 912.78 		N:10
Olson          		Mean: 100.87 		Best: 918.08 		N:9

########## REPORT GEN: 17 ##########
SPECIES: 
Olson          		Mean: 92.73 		Best: 944.1 		N:10
Thomas         		Mean: 102.81 		Best: 944.1 		N:9
Loynes         		Mean: 83.54 		Best: 941.4 		N:11
Kuo            		Mean: 103.4 		Best: 944.1 		N:9
Lodge          		Mean: 115.75 		Best: 938.56 		N:8
Snyder         		Mean: 115.11 		Best: 933.61 		N:8
Marsh          		Mean: 152.62 		Best: 915.41 		N:6
Loiacono       		Mean: 90.5 		Best: 913.63 		N:10
