########## REPORT GEN: 2 ##########
SPECIES: 
Beck           		Mean: 116.24 		Best: 672.0 		N:5
Freeman        		Mean: 201.31 		Best: 651.78 		N:3
Kruse          		Mean: 79.83 		Best: 644.46 		N:7
Goldberger     		Mean: 113.23 		Best: 644.24 		N:4
Mateo          		Mean: 68.03 		Best: 643.82 		N:8
Pointer        		Mean: 72.32 		Best: 624.26 		N:7
Trent          		Mean: 71.97 		Best: 607.89 		N:7
Moss           		Mean: 249.75 		Best: 603.89 		N:2
Rodriguez      		Mean: 285.75 		Best: 601.45 		N:2
Simmons        		Mean: 60.51 		Best: 579.08 		N:9
Tickle         		Mean: 129.39 		Best: 567.62 		N:4
Watters        		Mean: 162.2 		Best: 564.49 		N:3
Taylor         		Mean: 265.04 		Best: 528.86 		N:2

########## REPORT GEN: 8 ##########
SPECIES: 
Simmons        		Mean: 40.87 		Best: 821.55 		N:12
Freeman        		Mean: 107.22 		Best: 819.68 		N:5
Taylor         		Mean: 131.21 		Best: 818.51 		N:5
Ragin          		Mean: 78.16 		Best: 818.5 		N:8
Mateo          		Mean: 112.72 		Best: 760.23 		N:5
Goldberger     		Mean: 95.92 		Best: 733.94 		N:6
Reynolds       		Mean: 111.32 		Best: 691.93 		N:5
Tickle         		Mean: 262.66 		Best: 689.15 		N:2
Madina         		Mean: 178.94 		Best: 688.39 		N:3
Mcmahon        		Mean: 68.25 		Best: 672.04 		N:8
Watters        		Mean: 72.65 		Best: 643.29 		N:7
Kennedy        		Mean: 97.41 		Best: 608.06 		N:5
Rodriguez      		Mean: 127.02 		Best: 565.69 		N:4
Moss           		Mean: 101.01 		Best: 545.8 		N:5
Pointer        		Mean: 88.13 		Best: 545.78 		N:5
Trent          		Mean: 161.31 		Best: 529.41 		N:3
Cadogan        		Mean: 91.14 		Best: 529.04 		N:5
Beck           		Mean: 112.72 		Best: 529.02 		N:4

########## REPORT GEN: 9 ##########
SPECIES: 
Cadogan        		Mean: 210.99 		Best: 822.64 		N:3
Madina         		Mean: 85.82 		Best: 822.21 		N:6
Kruse          		Mean: 170.28 		Best: 819.75 		N:4
Beck           		Mean: 154.32 		Best: 819.18 		N:4
Trent          		Mean: 139.0 		Best: 818.88 		N:4
Mateo          		Mean: 102.31 		Best: 760.4 		N:5
Pointer        		Mean: 185.14 		Best: 758.53 		N:3
Reynolds       		Mean: 341.79 		Best: 733.81 		N:2
Simmons        		Mean: 145.22 		Best: 707.02 		N:4
Goldberger     		Mean: 106.68 		Best: 692.04 		N:5
Taylor         		Mean: 195.68 		Best: 689.77 		N:3
Moss           		Mean: 85.72 		Best: 689.77 		N:6
Watters        		Mean: 121.3 		Best: 642.8 		N:4
Holder         		Mean: 85.27 		Best: 603.26 		N:6
Freeman        		Mean: 59.73 		Best: 545.94 		N:8
Tickle         		Mean: 101.87 		Best: 545.8 		N:4
Mcmahon        		Mean: 105.58 		Best: 528.7 		N:5
Ragin          		Mean: 144.56 		Best: 528.32 		N:3
Rodriguez      		Mean: 218.36 		Best: 520.84 		N:2

########## REPORT GEN: 10 ##########
SPECIES: 
Ragin          		Mean: 126.21 		Best: 827.07 		N:5
Watters        		Mean: 130.13 		Best: 820.9 		N:5
Madina         		Mean: 234.19 		Best: 818.76 		N:3
Simmons        		Mean: 87.3 		Best: 818.56 		N:7
Reynolds       		Mean: 131.75 		Best: 818.53 		N:4
Moss           		Mean: 81.96 		Best: 761.9 		N:7
Trent          		Mean: 353.2 		Best: 761.17 		N:2
Freeman        		Mean: 54.94 		Best: 758.65 		N:9
Ornelas        		Mean: 77.03 		Best: 734.43 		N:7
Goldberger     		Mean: 134.82 		Best: 706.64 		N:4
Cadogan        		Mean: 65.14 		Best: 693.13 		N:8
Kruse          		Mean: 88.37 		Best: 688.31 		N:6
Holder         		Mean: 88.03 		Best: 642.87 		N:6
Beck           		Mean: 82.94 		Best: 624.05 		N:6
Mcmahon        		Mean: 75.69 		Best: 545.83 		N:6
Taylor         		Mean: 146.53 		Best: 528.06 		N:3
Pointer        		Mean: 100.51 		Best: 520.14 		N:4

########## REPORT GEN: 11 ##########
SPECIES: 
Ornelas        		Mean: 107.44 		Best: 1006.44 		N:6
Trent          		Mean: 142.71 		Best: 823.81 		N:4
Reynolds       		Mean: 213.4 		Best: 823.67 		N:3
Cadogan        		Mean: 107.56 		Best: 820.75 		N:6
Goldberger     		Mean: 94.75 		Best: 819.31 		N:6
Holder         		Mean: 148.13 		Best: 758.95 		N:4
Pointer        		Mean: 91.08 		Best: 738.39 		N:6
Ragin          		Mean: 69.16 		Best: 688.67 		N:7
Kruse          		Mean: 184.82 		Best: 688.34 		N:3
Moss           		Mean: 153.93 		Best: 684.03 		N:3
Mcmahon        		Mean: 166.25 		Best: 643.81 		N:3
Rodriguez      		Mean: 91.35 		Best: 642.81 		N:5
Beck           		Mean: 193.62 		Best: 642.71 		N:3
Watters        		Mean: 110.0 		Best: 624.23 		N:4
Madina         		Mean: 133.16 		Best: 529.66 		N:3
Simmons        		Mean: 158.16 		Best: 528.24 		N:3
Freeman        		Mean: 259.91 		Best: 527.47 		N:2
Tickle         		Mean: 125.6 		Best: 393.38 		N:3

########## REPORT GEN: 12 ##########
SPECIES: 
Madina         		Mean: 81.63 		Best: 1004.49 		N:7
